Codigo: 352 IID
I,J,Y,8,Z,7
H,Q,R,S,T,A
G,P,N,K,U,6
1,O,M,L,V,B
F,9,X,0,W,5
2,E,3,D,4,C

Codigo: 743 III
B,5,C,4,D,3
6,V,W,0,X,E
A,U,N,K,9,2
7,T,M,L,O,F
Z,S,R,Q,P,1
8,Y,J,I,H,G

Codigo: 527 DII
Y,8,Z,7,A,6
J,X,9,O,P,B
I,0,N,K,Q,5
H,W,M,L,R,C
G,V,U,T,S,4
1,F,2,E,3,D

Codigo: 435 IDI
6,B,5,C,4,D
A,U,V,W,0,3
7,T,L,M,X,E
Z,S,K,N,9,2
8,R,Q,P,O,F
Y,J,I,H,G,1

Codigo: 274 IID
C,4,D,3,E,2
5,Q,R,S,T,F
B,P,K,L,U,1
6,O,N,M,V,G
A,9,X,0,W,H
7,Z,8,Y,J,I

Codigo: 352 III
E,2,F,1,G,H
3,W,0,X,9,I
D,V,N,K,O,J
4,U,M,L,P,Y
C,T,S,R,Q,8
5,B,6,A,7,Z

Codigo: 743 DII
A,6,B,5,C,4
7,P,Q,R,S,D
Z,O,N,K,T,3
8,9,M,L,U,E
Y,X,0,W,V,2
J,I,H,G,1,F

